Number of Threads, Execution Time, Workload
1,1155068, 10 5 10
2,1306046, 10 5 10
3,975580, 10 5 10
4,2762879, 10 5 10
5,1251869, 10 5 10
6,2387010, 10 5 10
7,916667, 10 5 10
8,1475334, 10 5 10
9,1142670, 10 5 10
10,944672, 10 5 10
11,938408, 10 5 10
12,963952, 10 5 10
13,4118296, 10 5 10
14,1453836, 10 5 10
15,1239392, 10 5 10
16,1126728, 10 5 10
17,972244, 10 5 10
18,964841, 10 5 10
19,798392, 10 5 10
20,935904, 10 5 10
21,925182, 10 5 10
22,854858, 10 5 10
23,821588, 10 5 10
24,863415, 10 5 10
25,964088, 10 5 10
26,860188, 10 5 10
27,840882, 10 5 10
28,848776, 10 5 10
29,840871, 10 5 10
30,880309, 10 5 10
31,906183, 10 5 10
32,867197, 10 5 10
33,876788, 10 5 10
34,836760, 10 5 10
35,829641, 10 5 10
36,823419, 10 5 10
37,866628, 10 5 10
38,1147481, 10 5 10
39,905581, 10 5 10
40,901006, 10 5 10
41,869676, 10 5 10
42,972721, 10 5 10
43,854917, 10 5 10
44,873212, 10 5 10
45,865234, 10 5 10
46,838386, 10 5 10
47,839826, 10 5 10
48,847509, 10 5 10
49,897961, 10 5 10
50,845974, 10 5 10
51,850845, 10 5 10
52,891276, 10 5 10
53,849429, 10 5 10
54,901826, 10 5 10
55,824005, 10 5 10
56,850442, 10 5 10
57,858554, 10 5 10
58,922539, 10 5 10
59,866804, 10 5 10
60,986510, 10 5 10
61,860196, 10 5 10
62,859961, 10 5 10
63,920344, 10 5 10
64,876535, 10 5 10
65,881598, 10 5 10
66,848768, 10 5 10
67,917042, 10 5 10
68,909352, 10 5 10
69,863889, 10 5 10
70,935253, 10 5 10
71,931131, 10 5 10
72,931383, 10 5 10
73,868354, 10 5 10
74,880954, 10 5 10
75,897130, 10 5 10
76,878220, 10 5 10
77,899894, 10 5 10
78,866474, 10 5 10
79,905050, 10 5 10
80,907779, 10 5 10
81,878892, 10 5 10
82,895121, 10 5 10
83,905584, 10 5 10
84,944868, 10 5 10
85,915474, 10 5 10
86,897184, 10 5 10
87,1097782, 10 5 10
88,930084, 10 5 10
89,850225, 10 5 10
90,964768, 10 5 10
91,973411, 10 5 10
92,932871, 10 5 10
93,952572, 10 5 10
94,1132284, 10 5 10
95,947301, 10 5 10
96,981970, 10 5 10
97,1066528, 10 5 10
98,880699, 10 5 10
99,936342, 10 5 10
100,937897, 10 5 10
101,990100, 10 5 10
102,913985, 10 5 10
103,968168, 10 5 10
104,938446, 10 5 10
105,920832, 10 5 10
106,1009104, 10 5 10
107,1189844, 10 5 10
108,884433, 10 5 10
109,972561, 10 5 10
110,1179967, 10 5 10
111,888446, 10 5 10
112,960724, 10 5 10
113,818393, 10 5 10
114,813509, 10 5 10
115,837383, 10 5 10
116,829939, 10 5 10
117,850473, 10 5 10
118,828857, 10 5 10
119,834637, 10 5 10
120,866634, 10 5 10
121,834791, 10 5 10
122,874645, 10 5 10
123,1197707, 10 5 10
124,907665, 10 5 10
125,947569, 10 5 10
126,1009397, 10 5 10
127,932963, 10 5 10
128,963357, 10 5 10
129,1110387, 10 5 10
130,931633, 10 5 10
131,936637, 10 5 10
132,918036, 10 5 10
133,1005874, 10 5 10
134,1162594, 10 5 10
135,972993, 10 5 10
136,943962, 10 5 10
137,937435, 10 5 10
138,902626, 10 5 10
139,980079, 10 5 10
140,956399, 10 5 10
141,976361, 10 5 10
142,912344, 10 5 10
143,910355, 10 5 10
144,857521, 10 5 10
145,845858, 10 5 10
146,873477, 10 5 10
147,862902, 10 5 10
148,1233185, 10 5 10
149,843641, 10 5 10
150,850624, 10 5 10
151,892145, 10 5 10
152,846435, 10 5 10
153,958761, 10 5 10
154,1052641, 10 5 10
155,882046, 10 5 10
156,874075, 10 5 10
157,862139, 10 5 10
158,864648, 10 5 10
159,868530, 10 5 10
160,924342, 10 5 10
161,917524, 10 5 10
162,939463, 10 5 10
163,943387, 10 5 10
164,1026652, 10 5 10
165,947867, 10 5 10
166,918399, 10 5 10
167,875256, 10 5 10
168,846150, 10 5 10
169,994219, 10 5 10
170,878723, 10 5 10
171,836496, 10 5 10
172,1038220, 10 5 10
173,896008, 10 5 10
174,903316, 10 5 10
175,855509, 10 5 10
176,1012719, 10 5 10
177,881962, 10 5 10
178,882273, 10 5 10
179,890866, 10 5 10
180,897549, 10 5 10
181,1568001, 10 5 10
182,884408, 10 5 10
183,887094, 10 5 10
184,952538, 10 5 10
185,1100383, 10 5 10
186,986375, 10 5 10
187,881457, 10 5 10
188,903716, 10 5 10
189,916591, 10 5 10
190,976964, 10 5 10
191,913622, 10 5 10
192,892319, 10 5 10
193,944936, 10 5 10
194,885743, 10 5 10
195,953542, 10 5 10
196,1093316, 10 5 10
197,941413, 10 5 10
198,966352, 10 5 10
199,930142, 10 5 10
1,4442042, 100 50 100
2,4565557, 100 50 100
3,4332920, 100 50 100
4,4011247, 100 50 100
5,4184832, 100 50 100
6,3808620, 100 50 100
7,3875765, 100 50 100
8,4009995, 100 50 100
9,3921214, 100 50 100
10,3961563, 100 50 100
11,3933537, 100 50 100
12,3831380, 100 50 100
13,6274619, 100 50 100
14,4596579, 100 50 100
15,4106828, 100 50 100
16,4421375, 100 50 100
17,3851437, 100 50 100
18,4238074, 100 50 100
19,3911280, 100 50 100
20,3923117, 100 50 100
21,3884899, 100 50 100
22,3993086, 100 50 100
23,4268881, 100 50 100
24,4268705, 100 50 100
25,3991848, 100 50 100
26,4156572, 100 50 100
27,4512858, 100 50 100
28,3940186, 100 50 100
29,3778558, 100 50 100
30,4572691, 100 50 100
31,4320768, 100 50 100
32,3974371, 100 50 100
33,3980588, 100 50 100
34,3740646, 100 50 100
35,3824972, 100 50 100
36,3795455, 100 50 100
37,3880476, 100 50 100
38,3725664, 100 50 100
39,3912988, 100 50 100
40,3912402, 100 50 100
41,4062599, 100 50 100
42,4035978, 100 50 100
43,4106324, 100 50 100
44,3944301, 100 50 100
45,3797876, 100 50 100
46,4430965, 100 50 100
47,4175176, 100 50 100
48,4049137, 100 50 100
49,3866139, 100 50 100
50,3762367, 100 50 100
51,3870599, 100 50 100
52,4195267, 100 50 100
53,4078851, 100 50 100
54,3802784, 100 50 100
55,3906000, 100 50 100
56,3851237, 100 50 100
57,3849687, 100 50 100
58,4010782, 100 50 100
59,3841053, 100 50 100
60,3732325, 100 50 100
61,4526541, 100 50 100
62,4071151, 100 50 100
63,3821746, 100 50 100
64,3983995, 100 50 100
65,3955055, 100 50 100
66,4035133, 100 50 100
67,3923641, 100 50 100
68,4001613, 100 50 100
69,3865032, 100 50 100
70,4010521, 100 50 100
71,3915029, 100 50 100
72,3918094, 100 50 100
73,3717201, 100 50 100
74,3931630, 100 50 100
75,3943368, 100 50 100
76,4365415, 100 50 100
77,4280331, 100 50 100
78,3912419, 100 50 100
79,3832417, 100 50 100
80,3863928, 100 50 100
81,3963038, 100 50 100
82,6729900, 100 50 100
83,3844833, 100 50 100
84,3868952, 100 50 100
85,3866274, 100 50 100
86,4085850, 100 50 100
87,3839123, 100 50 100
88,3960594, 100 50 100
89,3859497, 100 50 100
90,4002714, 100 50 100
91,4334923, 100 50 100
92,3834479, 100 50 100
93,3835585, 100 50 100
94,4114644, 100 50 100
95,3900361, 100 50 100
96,3998399, 100 50 100
97,3960494, 100 50 100
98,3975566, 100 50 100
99,4113839, 100 50 100
100,4333118, 100 50 100
101,3990598, 100 50 100
102,3922876, 100 50 100
103,5000484, 100 50 100
104,4108547, 100 50 100
105,4630704, 100 50 100
106,4065849, 100 50 100
107,3900378, 100 50 100
108,3790479, 100 50 100
109,4009356, 100 50 100
110,3960626, 100 50 100
111,3811069, 100 50 100
112,3851787, 100 50 100
113,3948191, 100 50 100
114,3856911, 100 50 100
115,3944948, 100 50 100
116,3905105, 100 50 100
117,3817649, 100 50 100
118,4019580, 100 50 100
119,4446598, 100 50 100
120,4451704, 100 50 100
121,4103006, 100 50 100
122,3895301, 100 50 100
123,3989710, 100 50 100
124,3891189, 100 50 100
125,3854564, 100 50 100
126,3978365, 100 50 100
127,3986795, 100 50 100
128,4026619, 100 50 100
129,4021214, 100 50 100
130,3982420, 100 50 100
131,3949451, 100 50 100
132,3982581, 100 50 100
133,4200173, 100 50 100
134,5177316, 100 50 100
135,4209192, 100 50 100
136,4241474, 100 50 100
137,3992836, 100 50 100
138,4043358, 100 50 100
139,3881436, 100 50 100
140,3877855, 100 50 100
141,3991217, 100 50 100
142,3928730, 100 50 100
143,3907322, 100 50 100
144,3921290, 100 50 100
145,3882671, 100 50 100
146,4050868, 100 50 100
147,4179617, 100 50 100
148,3919836, 100 50 100
149,4425159, 100 50 100
150,4126335, 100 50 100
151,4030246, 100 50 100
152,3904804, 100 50 100
153,3912517, 100 50 100
154,3850730, 100 50 100
155,4036584, 100 50 100
156,3860197, 100 50 100
157,3872149, 100 50 100
158,3929631, 100 50 100
159,4481701, 100 50 100
160,4229945, 100 50 100
161,3932529, 100 50 100
162,3914703, 100 50 100
163,3902087, 100 50 100
164,4175648, 100 50 100
165,3954696, 100 50 100
166,3968283, 100 50 100
167,3954271, 100 50 100
168,3907814, 100 50 100
169,3839832, 100 50 100
170,3764129, 100 50 100
171,4293561, 100 50 100
172,4460236, 100 50 100
173,4076813, 100 50 100
174,3921136, 100 50 100
175,4033940, 100 50 100
176,4207986, 100 50 100
177,3784570, 100 50 100
178,3958803, 100 50 100
179,4054027, 100 50 100
180,4241357, 100 50 100
181,4239945, 100 50 100
182,4023402, 100 50 100
183,4095912, 100 50 100
184,4471806, 100 50 100
185,3930969, 100 50 100
186,3805430, 100 50 100
187,3980960, 100 50 100
188,3936489, 100 50 100
189,4095806, 100 50 100
190,4165518, 100 50 100
191,4047257, 100 50 100
192,3783003, 100 50 100
193,4681021, 100 50 100
194,4064173, 100 50 100
195,4017581, 100 50 100
196,4361213, 100 50 100
197,3997656, 100 50 100
198,3905414, 100 50 100
199,3964521, 100 50 100
1,2247024038, 1000 500 1000
2,2394751833, 1000 500 1000
3,2399365797, 1000 500 1000
4,2333031219, 1000 500 1000
5,2308430334, 1000 500 1000
6,2220998192, 1000 500 1000
7,2300631547, 1000 500 1000
8,2123470199, 1000 500 1000
9,2209603993, 1000 500 1000
10,2208460019, 1000 500 1000
11,2327606653, 1000 500 1000
12,2296379162, 1000 500 1000
13,2310469921, 1000 500 1000
14,2340937311, 1000 500 1000
15,2260704208, 1000 500 1000
16,2203345480, 1000 500 1000
17,2440675445, 1000 500 1000
18,2322243031, 1000 500 1000
19,1965303219, 1000 500 1000
20,2399619015, 1000 500 1000
21,2204584941, 1000 500 1000
22,2190555334, 1000 500 1000
23,2115257079, 1000 500 1000
24,2285036421, 1000 500 1000
25,2577139795, 1000 500 1000
26,2644860863, 1000 500 1000
27,2336776809, 1000 500 1000
28,2197192826, 1000 500 1000
29,2180559569, 1000 500 1000
30,2345007791, 1000 500 1000
31,2596463538, 1000 500 1000
32,2507449094, 1000 500 1000
33,2688168064, 1000 500 1000
34,2714223695, 1000 500 1000
35,2579067294, 1000 500 1000
36,2409673163, 1000 500 1000
37,2348540409, 1000 500 1000
38,2552243374, 1000 500 1000
39,2687691806, 1000 500 1000
40,2531306188, 1000 500 1000
41,2390111719, 1000 500 1000
42,2255072449, 1000 500 1000
43,2208082061, 1000 500 1000
44,2360094172, 1000 500 1000
45,2481392974, 1000 500 1000
46,2581350815, 1000 500 1000
47,2698395465, 1000 500 1000
48,2492823077, 1000 500 1000
49,2479712151, 1000 500 1000
50,2474323932, 1000 500 1000
51,2386972561, 1000 500 1000
52,2152847098, 1000 500 1000
53,2377185196, 1000 500 1000
54,2373372963, 1000 500 1000
55,2147300514, 1000 500 1000
56,2372002915, 1000 500 1000
57,2355983421, 1000 500 1000
58,2146800636, 1000 500 1000
59,2376433957, 1000 500 1000
60,2405396684, 1000 500 1000
61,2413404661, 1000 500 1000
62,2273983519, 1000 500 1000
63,2601646531, 1000 500 1000
64,2448853055, 1000 500 1000
65,2436679582, 1000 500 1000
66,2202064119, 1000 500 1000
67,2441838160, 1000 500 1000
68,2220551664, 1000 500 1000
69,2317143537, 1000 500 1000
70,2359470108, 1000 500 1000
71,2398598198, 1000 500 1000
72,2283921470, 1000 500 1000
73,2311550780, 1000 500 1000
74,2386842326, 1000 500 1000
75,2429213617, 1000 500 1000
76,2553024542, 1000 500 1000
77,2386204088, 1000 500 1000
78,2323705032, 1000 500 1000
79,2364218453, 1000 500 1000
80,2379214261, 1000 500 1000
81,2222628433, 1000 500 1000
82,2338799400, 1000 500 1000
83,2336318590, 1000 500 1000
84,2358379933, 1000 500 1000
85,2454712162, 1000 500 1000
86,2243177532, 1000 500 1000
87,2282578905, 1000 500 1000
88,2248489765, 1000 500 1000
89,2313694522, 1000 500 1000
90,2400141945, 1000 500 1000
91,2312460149, 1000 500 1000
92,2228209184, 1000 500 1000
93,2277560318, 1000 500 1000
94,2361584315, 1000 500 1000
95,2322296072, 1000 500 1000
96,2567333103, 1000 500 1000
97,2154374223, 1000 500 1000
98,2150457693, 1000 500 1000
99,2392589543, 1000 500 1000
100,2471162991, 1000 500 1000
101,2267787502, 1000 500 1000
102,2443599000, 1000 500 1000
103,2230437549, 1000 500 1000
104,2439618871, 1000 500 1000
105,2532492108, 1000 500 1000
106,2392035022, 1000 500 1000
107,2512079499, 1000 500 1000
108,2419140053, 1000 500 1000
109,2659616993, 1000 500 1000
110,2679642131, 1000 500 1000
111,2349689268, 1000 500 1000
112,2668609362, 1000 500 1000
113,2496358254, 1000 500 1000
114,2521496798, 1000 500 1000
115,2621646242, 1000 500 1000
116,2349206172, 1000 500 1000
117,2404948063, 1000 500 1000
118,2456142954, 1000 500 1000
119,2418969675, 1000 500 1000
120,2262155085, 1000 500 1000
121,2484102059, 1000 500 1000
122,2381147604, 1000 500 1000
123,2255726186, 1000 500 1000
124,2321073793, 1000 500 1000
125,2432311697, 1000 500 1000
126,2343262554, 1000 500 1000
127,2362123236, 1000 500 1000
128,2242449491, 1000 500 1000
129,2302757510, 1000 500 1000
130,2149688100, 1000 500 1000
131,2314397800, 1000 500 1000
132,2396260345, 1000 500 1000
133,2303688734, 1000 500 1000
134,2394734766, 1000 500 1000
135,2494401378, 1000 500 1000
136,2456331682, 1000 500 1000
137,2595609643, 1000 500 1000
138,2198193629, 1000 500 1000
139,2511265887, 1000 500 1000
140,2460188735, 1000 500 1000
141,2276737426, 1000 500 1000
142,1983175448, 1000 500 1000
143,2227815075, 1000 500 1000
144,2151174788, 1000 500 1000
145,2245852719, 1000 500 1000
146,2209983314, 1000 500 1000
147,2225032424, 1000 500 1000
148,2109180462, 1000 500 1000
149,2253436398, 1000 500 1000
150,2489882263, 1000 500 1000
151,2363527894, 1000 500 1000
152,2538405360, 1000 500 1000
153,2500867466, 1000 500 1000
154,2490153784, 1000 500 1000
155,2484397836, 1000 500 1000
156,2336731043, 1000 500 1000
157,2570074691, 1000 500 1000
158,2371289825, 1000 500 1000
159,2436439650, 1000 500 1000
160,2387924646, 1000 500 1000
161,2168855080, 1000 500 1000
162,2280036119, 1000 500 1000
163,2497410238, 1000 500 1000
164,2486408919, 1000 500 1000
165,2550659198, 1000 500 1000
166,2303384113, 1000 500 1000
167,2355051267, 1000 500 1000
168,2281973393, 1000 500 1000
169,2319632662, 1000 500 1000
170,2156679038, 1000 500 1000
171,2304355157, 1000 500 1000
172,2059307234, 1000 500 1000
173,2151856013, 1000 500 1000
174,2378576208, 1000 500 1000
175,2267839689, 1000 500 1000
176,2063082720, 1000 500 1000
177,2322791817, 1000 500 1000
178,2310843762, 1000 500 1000
179,2260916653, 1000 500 1000
180,2260300234, 1000 500 1000
181,2370024764, 1000 500 1000
182,2205241311, 1000 500 1000
183,2322874607, 1000 500 1000
184,2264697125, 1000 500 1000
185,2174943863, 1000 500 1000
186,2181408015, 1000 500 1000
187,2293600673, 1000 500 1000
188,2163755341, 1000 500 1000
189,2113937772, 1000 500 1000
190,2317250334, 1000 500 1000
191,2123362910, 1000 500 1000
192,2046163118, 1000 500 1000
193,2272151951, 1000 500 1000
194,2227929626, 1000 500 1000
195,2278430224, 1000 500 1000
196,2067952212, 1000 500 1000
197,2250857969, 1000 500 1000
198,2265239532, 1000 500 1000
199,2211332751, 1000 500 1000
